0.00000,0.00034,-0.78151,0.00095,-2.36216,0.77861,0.79025,0.77882,-0.00000,-0.00047,-0.00124,-0.00075,0.00014,0.00010,-0.00160,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.01603,-2.75271,-2.14773,21.25716,2.99429,-0.07936,0.28242,-0.01603,-2.75271,-2.14773,21.25716,2.99429,-0.07936,0.28242,-0.01603,-1.43048,-0.90946,3.66519,1.24045,-0.57490,0.26638,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00199,0.00033,-0.78151,0.00095,-2.36216,0.77861,0.79026,0.77882,-0.00258,0.00006,-0.00125,0.00008,0.00156,-0.00013,-0.00010,-0.03867,0.00788,-0.00019,0.01241,0.02138,-0.00351,0.02250,0.08315,-2.77652,-2.14773,21.23336,2.98788,-0.06654,0.26320,-0.01307,-2.75343,-2.14773,21.25645,2.99410,-0.07898,0.28185,-0.01128,-1.43216,-0.90944,3.66301,1.23779,-0.57423,0.26362,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,3,3,-0.00011,0.00002,0.00000,-0.00001,0.00003,0.00002,0.00003
0.00300,0.00034,-0.78151,0.00095,-2.36216,0.77861,0.79026,0.77882,-0.00079,0.00004,-0.00100,0.00033,0.00153,0.00046,0.00030,-0.01122,0.00750,0.00361,0.01590,0.02054,0.00541,0.02821,0.03554,-2.80032,-2.14773,21.23336,2.98788,-0.08577,0.27602,-0.01234,-2.75413,-2.14773,21.25610,2.99400,-0.07908,0.28176,-0.00302,-1.43936,-0.90164,3.65839,1.23790,-0.57608,0.26295,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6,7,-0.00005,0.00002,0.00000,0.00002,0.00003,0.00003,0.00001
0.00399,0.00034,-0.78151,0.00095,-2.36216,0.77861,0.79025,0.77882,0.00049,-0.00117,-0.00041,0.00108,0.00126,-0.00060,0.00031,0.00809,-0.01082,0.01238,0.02704,0.01616,-0.01053,0.02794,0.00777,-2.75271,-2.17550,21.20559,2.99429,-0.06654,0.26961,-0.01204,-2.75411,-2.14814,21.25535,2.99401,-0.07889,0.28158,-0.01096,-1.43295,-0.91114,3.65287,1.23735,-0.57418,0.26274,-0.00000,-0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6,7,0.00001,-0.00001,0.00000,0.00006,0.00002,-0.00002,0.00002
0.00500,0.00034,-0.78150,0.00095,-2.36216,0.77861,0.79025,0.77882,-0.00054,0.00095,-0.00144,0.00083,0.00239,-0.00004,0.00085,-0.00747,0.02123,-0.00330,0.02281,0.03283,-0.00211,0.03563,0.03554,-2.82809,-2.12393,21.20559,2.98147,-0.07936,0.24397,-0.01132,-2.75523,-2.14778,21.25460,2.99382,-0.07890,0.28101,-0.01833,-1.41016,-0.91982,3.63838,1.23298,-0.57361,0.26133,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6,7,-0.00004,0.00008,-0.00003,0.00006,0.00004,-0.00000,0.00007
0.00599,0.00034,-0.78150,0.00095,-2.36216,0.77861,0.79025,0.77882,-0.00058,0.00057,-0.00080,0.00066,0.00268,-0.00019,0.00016,-0.00791,0.01518,0.00632,0.01996,0.03675,-0.00427,0.02474,0.03554,-2.82809,-2.12393,21.20559,2.98147,-0.07936,0.24397,-0.01062,-2.75632,-2.14742,21.25387,2.99363,-0.07891,0.28046,-0.00764,-1.45008,-0.90587,3.65243,1.23456,-0.57547,0.26185,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6,7,-0.00005,0.00008,-0.00003,0.00006,0.00004,-0.00000,0.00007
0.00799,0.00034,-0.78151,0.00095,-2.36216,0.77861,0.79026,0.77882,0.00044,-0.00023,-0.00002,0.00001,0.00065,0.00098,-0.00169,0.00766,0.00279,0.01797,0.00961,0.00523,0.01343,-0.00375,0.00777,-2.80032,-2.14773,21.23336,3.00070,-0.07936,0.26961,-0.01007,-2.75764,-2.14743,21.25325,2.99385,-0.07892,0.28013,-0.01029,-1.44382,-0.91396,3.65219,1.23795,-0.57643,0.26422,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6,7,-0.00002,0.00001,0.00001,0.00002,0.00000,0.00005,0.00002
0.00897,0.00034,-0.78151,0.00095,-2.36216,0.77861,0.79026,0.77882,0.00023,-0.00019,0.00123,0.00019,0.00062,0.00010,-0.00191,0.00436,0.00326,0.03638,0.01220,0.00472,-0.00003,-0.00699,0.00777,-2.80032,-2.17550,21.23336,2.98788,-0.07936,0.28242,-0.00980,-2.75827,-2.14785,21.25296,2.99376,-0.07893,0.28017,-0.01572,-1.43507,-0.92699,3.65433,1.23782,-0.57424,0.26455,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,6,7,-0.00002,0.00004,0.00004,0.00002,0.00003,0.00001,-0.00000
0.00999,0.00034,-0.78151,0.00095,-2.36216,0.77861,0.79025,0.77882,0.00044,-0.00085,0.00154,-0.00027,0.00020,-0.00031,-0.00156,0.00743,-0.00661,0.04043,0.00502,-0.00164,-0.00620,-0.00171,0.00777,-2.77652,-2.17550,21.25716,2.98788,-0.07295,0.28883,-0.00953,-2.75855,-2.14827,21.25302,2.99367,-0.07884,0.28030,-0.01897,-1.43294,-0.94017,3.65464,1.23793,-0.57324,0.26416,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,6,7,0.00001,0.00002,0.00007,-0.00000,0.00003,-0.00001,-0.00002
0.01098,0.00034,-0.78151,0.00096,-2.36216,0.77861,0.79025,0.77882,0.00061,-0.00072,0.00178,0.00002,-0.00011,-0.00035,-0.00106,0.00984,-0.00456,0.04354,0.00927,-0.00630,-0.00659,0.00582,0.00777,-2.77652,-2.17550,21.25716,2.98788,-0.07295,0.28883,-0.00928,-2.75881,-2.14867,21.25309,2.99358,-0.07875,0.28043,-0.02095,-1.42476,-0.94477,3.65489,1.23839,-0.57243,0.26355,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,6,7,0.00002,0.00002,0.00008,-0.00000,0.00002,-0.00001,-0.00002
0.01201,0.00034,-0.78150,0.00095,-2.36216,0.77861,0.79025,0.77882,-0.00080,0.00075,0.00153,0.00084,0.00060,-0.00015,0.00090,-0.01146,0.01755,0.03907,0.02144,0.00439,-0.00350,0.03522,0.05934,-2.82809,-2.17550,21.23336,2.98788,-0.07295,0.24397,-0.00822,-2.75988,-2.14909,21.25278,2.99349,-0.07866,0.27987,-0.02005,-1.42908,-0.94726,3.65175,1.23678,-0.57262,0.26011,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6,7,-0.00006,0.00007,0.00005,0.00002,0.00002,-0.00001,0.00006
0.01396,0.00034,-0.78151,0.00095,-2.36216,0.77861,0.79025,0.77882,0.00079,-0.00089,-0.00007,0.00037,0.00017,-0.00001,0.00177,0.01282,-0.00755,0.01388,0.01376,-0.00215,-0.00141,0.04719,0.00777,-2.77652,-2.14773,21.25716,3.00070,-0.07936,0.22475,-0.00775,-2.76037,-2.14905,21.25291,2.99371,-0.07868,0.27825,-0.01340,-1.44844,-0.93664,3.65456,1.23831,-0.57436,0.25725,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6,7,-0.00001,0.00002,0.00000,-0.00000,0.00000,-0.00000,0.00011
0.01499,0.00034,-0.78151,0.00095,-2.36216,0.77860,0.79025,0.77882,-0.00015,-0.00087,-0.00077,0.00109,0.00051,-0.00035,-0.00141,-0.00150,-0.00717,0.00320,0.02441,0.00296,-0.00634,-0.00119,0.03554,-2.77652,-2.12393,21.23336,2.98788,-0.07295,0.28883,-0.00708,-2.76062,-2.14866,21.25261,2.99362,-0.07859,0.27841,-0.01431,-1.42190,-0.92336,3.64609,1.23720,-0.57288,0.26204,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,6,7,-0.00005,0.00002,-0.00003,0.00002,-0.00002,-0.00001,-0.00001
0.01600,0.00034,-0.78151,0.00095,-2.36216,0.77860,0.79025,0.77882,-0.00012,-0.00087,-0.00067,0.00098,0.00020,-0.00031,-0.00101,-0.00102,-0.00711,0.00461,0.02242,-0.00165,-0.00577,0.00482,0.03554,-2.77652,-2.12393,21.23336,2.98788,-0.07295,0.28883,-0.00644,-2.76086,-2.14828,21.25232,2.99353,-0.07851,0.27857,-0.00867,-1.41944,-0.91262,3.64005,1.23740,-0.57337,0.26162,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,6,7,-0.00005,0.00002,-0.00003,0.00002,-0.00004,-0.00001,-0.00002
0.01700,0.00034,-0.78151,0.00095,-2.36216,0.77861,0.79025,0.77882,0.00079,-0.00079,-0.00060,0.00173,0.00154,0.00003,0.00065,0.01252,-0.00586,0.00560,0.03326,0.01846,-0.00051,0.02958,0.00777,-2.77652,-2.12393,21.20559,2.98147,-0.07936,0.26320,-0.00622,-2.76109,-2.14792,21.25162,2.99335,-0.07852,0.27834,-0.00928,-1.42085,-0.91337,3.63957,1.23506,-0.57377,0.25897,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,6,7,-0.00002,0.00002,-0.00003,0.00005,0.00001,-0.00000,0.00003
